Network , Station , Latitude , Longitude , Elevation , Sitename , StartTime , EndTime
7D,FS15B,40.492599,-124.512604,-52.0,LDEO OBS TRAWL-RESISTANT,2012-09-13T00:00:00,2013-07-03T23:59:59
7D,FS15D,40.496399,-124.524696,-56.0,LDEO OBS TRAWL-RESISTANT,2014-09-16T00:00:00,2015-10-07T23:59:59
7D,FS16B,40.538101,-124.739502,-1073.0,LDEO OBS STANDARD DEEP,2012-09-12T00:00:00,2013-07-03T23:59:59
7D,FS16D,40.5378,-124.746803,-1080.4,WHOI OBS ID S82,2014-07-16T00:00:00,2015-08-28T23:59:59
7D,FS17B,40.559799,-124.596497,-146.0,LDEO OBS TRAWL-RESISTANT,2012-09-15T00:00:00,2013-07-02T23:59:59
7D,FS17D,40.559799,-124.597,-145.0,LDEO OBS TRAWL-RESISTANT,2014-09-14T00:00:00,2015-10-06T23:59:59
7D,FS18B,40.568199,-124.501602,-107.0,LDEO OBS TRAWL-RESISTANT,2012-09-16T00:00:00,2013-07-01T23:59:59
7D,FS19B,40.627899,-124.466698,-87.0,LDEO OBS TRAWL-RESISTANT,2012-09-16T00:00:00,2013-07-01T23:59:59
7D,FS20B,40.3895,-125.031097,-2378.0,LDEO OBS STANDARD DEEP,2012-09-12T00:00:00,2013-07-04T23:59:59
7D,FS41D,40.6124,-124.731003,-1079.3,WHOI OBS ID S88,2014-07-16T00:00:00,2015-08-28T23:59:59
7D,FS42D,40.715099,-124.463097,-95.0,LDEO OBS TRAWL-RESISTANT,2014-09-14T00:00:00,2015-10-05T23:59:59
7D,FS43D,40.711899,-124.5839,-719.0,LDEO OBS TRAWL-RESISTANT,2014-09-14T00:00:00,2015-10-06T23:59:59
7D,FS44D,40.760899,-124.702797,-837.0,SIO OBS ID FS44D,2014-08-12T00:00:00,2015-09-15T23:59:59
7D,FS45D,40.799999,-124.520302,-477.0,LDEO OBS TRAWL-RESISTANT,2014-09-13T00:00:00,2015-09-09T23:59:59
7D,G01D,39.999901,-124.6008,-1006.7,WHOI OBS ID S85,2014-07-17T00:00:00,2015-08-27T23:59:59
7D,G02B,40.048599,-125.296898,-1920.0,SIO OBS ID G02B,2012-09-03T00:00:00,2013-06-19T23:59:59
7D,G02D,40.160301,-125.297699,-1741.0,LDEO OBS STANDARD DEEP,2014-09-16T00:00:00,2015-09-12T23:59:59
7D,G03A,40.059101,-126.162498,-4113.0,WHOI OBS ID S87,2011-11-17T00:00:00,2012-05-13T23:59:59
7D,G03B,40.057999,-126.163399,-4051.0,WHOI OBS ID S89,2012-08-27T00:00:00,2013-06-11T23:59:59
7D,G03D,40.058701,-126.161201,-4056.5,WHOI OBS ID T111,2014-07-14T00:00:00,2015-08-29T23:59:59
7D,G04B,40.058498,-126.928497,-4368.0,WHOI OBS ID T103,2012-08-27T00:00:00,2013-06-08T23:59:59
7D,G04D,40.1577,-126.784698,-4350.3,WHOI OBS ID T101,2014-07-14T00:00:00,2015-08-29T23:59:59
7D,G05B,40.070599,-127.747803,-4462.0,WHOI OBS ID T110,2012-08-27T00:00:00,2013-06-08T23:59:59
7D,G05D,40.143002,-127.825699,-4463.8,WHOI OBS ID T112,2014-07-14T00:00:00,2015-08-29T23:59:59
7D,G09B,40.656799,-124.718697,-842.0,LDEO OBS TRAWL-RESISTANT,2012-09-16T00:00:00,2013-07-01T23:59:59
7D,G09D,40.6665,-124.726898,-716.3,WHOI OBS ID S87,2014-07-16T00:00:00,2015-08-28T23:59:59
7D,G10B,40.677898,-125.553299,-2936.0,SIO OBS ID G10B,2012-09-03T00:00:00,2013-06-19T23:59:59
7D,G10D,40.788799,-125.554398,-3015.0,SIO OBS ID G10D,2014-08-11T00:00:00,2015-09-15T23:59:59
7D,G11B,40.6875,-126.376404,-3123.0,WHOI OBS ID T111,2012-08-28T00:00:00,2013-06-09T23:59:59
7D,G11D,40.7845,-126.4683,-3145.0,SIO OBS ID G11D,2014-08-02T00:00:00,2015-09-14T23:59:59
7D,G12B,40.686901,-127.228897,-3080.0,SIO OBS ID G12B,2012-09-03T00:00:00,2013-06-20T23:59:59
7D,G13B,40.683998,-128.028305,-3215.0,WHOI OBS ID T105,2012-08-26T00:00:00,2013-06-07T23:59:59
7D,G13D,40.748199,-127.937103,-3186.5,WHOI OBS ID T114,2014-07-14T00:00:00,2015-08-30T23:59:59
7D,G17B,41.283901,-124.344597,-123.0,LDEO OBS TRAWL-RESISTANT,2012-09-17T00:00:00,2013-07-01T23:59:59
7D,G17D,41.399601,-124.433197,-99.0,LDEO OBS TRAWL-RESISTANT,2014-09-13T00:00:00,2014-09-16T23:59:59
7D,G18B,41.301601,-124.936302,-1464.0,LDEO OBS STANDARD DEEP,2012-09-18T00:00:00,2013-05-16T23:59:59
7D,G18D,41.304699,-125.255798,-3130.0,LDEO OBS STANDARD DEEP,2014-09-13T00:00:00,2015-10-05T23:59:59
7D,G19B,41.3074,-125.773598,-3071.0,WHOI OBS ID T106,2012-08-28T00:00:00,2013-06-13T23:59:59
7D,G19D,41.3316,-126.027901,-3082.0,LDEO OBS STANDARD DEEP,2014-09-18T00:00:00,2015-09-14T23:59:59
7D,G20B,41.298698,-126.613297,-3141.0,WHOI OBS ID T113,2012-08-28T00:00:00,2013-06-11T23:59:59
7D,G20D,41.451599,-126.8638,-2931.3,WHOI OBS ID T103,2014-07-13T00:00:00,2015-08-30T23:59:59
7D,G21B,41.316002,-127.453697,-3156.0,WHOI OBS ID T102,2012-08-28T00:00:00,2013-06-11T23:59:59
7D,G21D,41.1227,-127.447998,-3293.4,WHOI OBS ID T106,2014-07-13T00:00:00,2015-08-30T23:59:59
7D,G22B,41.3092,-128.274002,-3038.0,WHOI OBS ID T108,2012-08-26T00:00:00,2013-06-07T23:59:59
7D,G22D,41.433601,-128.016602,-3092.4,WHOI OBS ID T107,2014-07-13T00:00:00,2015-08-30T23:59:59
7D,M14B,40.985001,-124.589699,-638.0,SIO OBS ID M14B,2012-09-02T00:00:00,2013-06-19T23:59:59
7D,M17D,41.036999,-124.629799,-749.0,LDEO OBS TRAWL-RESISTANT,2014-09-12T00:00:00,2015-10-08T23:59:59
