Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
4P|CAN01|41.1683|-124.091|172.9375|Redwood Park, CA, USA|2010-07-07T21:39:53|2010-08-04T18:46:28
4P|CAN02|40.8663|-123.449|317.9|Happy Camp, CA, USA|2010-08-15T01:45:20|2010-10-02T20:10:02
4P|CAN04|40.8194|-121.572|1346.50625|Burney Mt, CA, USA|2010-07-02T23:52:29|2010-09-22T15:48:34
4P|CAN05|40.762138|-120.794|3988.45|Cleghorn Reservoir, CA, USA|2010-07-07T20:23:48|2010-08-03T22:22:08
4P|CAN06|40.7856|-120.109|1676.2|Painters Creek, CA, USA|2010-09-12T11:50:56|2010-10-06T16:32:43
4P|CAO01|40.6278|-123.935|698.0|Gift Ranch, CA, USA|2010-06-02T02:01:32|2010-06-30T16:44:38
4P|CAO02|40.4668|-123.18|768.85|Philpot Creek, California, USA|2010-08-05T21:30:49|2010-08-28T18:11:12
4P|CAO03|40.293425|-122.515|233.575|Packer Gulch, CA, USA|2010-07-03T22:05:26|2010-08-05T16:50:22
4P|CAO04|40.217|-121.523|1590.3875|Collins Pine, CA, USA|2010-07-06T19:37:31|2010-08-03T17:27:10
4P|CAO05|40.247|-120.704|1732.9375|Taylor Lake, CA, USA|2010-07-08T20:40:58|2010-08-20T18:05:05
4P|CAO06|40.1042|-120.015|1211.5|Honey Lake Valley, CA, USA|2010-09-21T21:20:54|2010-11-09T18:42:23
4P|CAP01|40.0364|-123.766|448.9|Mt Reed, CA, USA|2010-07-23T22:41:40|2010-08-06T15:51:28
4P|CAP02|39.702975|-123.064|1331.075|Hayshed Creek, CA, USA|2010-07-01T15:52:28|2010-08-06T20:11:38
4P|CAP03|39.6414|-122.352|118.6375|Sheep Corral Creek, CA, USA|2010-07-10T18:14:44|2010-08-25T15:20:52
4P|CAP04|39.5914|-121.332|686.625|Lake Oroville, CA, USA|2010-08-03T00:17:43|2010-08-24T20:23:01
4P|CAP05|39.505597|-120.719|1892.2109375|Yuba River, CA, USA|2010-07-17T19:33:21|2010-09-15T15:23:08
4P|REN03|41.026931|-121.971082|883.5375|Dog Creek Mt, CA, USA|2010-07-28T20:53:43|2010-09-07T16:29:37
4P|REN03|40.899572|-122.506168|1094.35|Dog Creek Mt., CA, USA|2011-06-10T19:09:51|2011-07-02T17:32:53
5E|CM01A|40.722698|-123.985397|708.0|Kneeland CA|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM02A|40.660801|-124.1688|122.0|Eureka CA|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM03A|40.602798|-123.959099|582.0|Fortuna CA|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM04A|40.5826|-124.108803|111.0|Fortuna CA|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM05A|40.5396|-124.239403|103.0|Ferndale CA|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM06A|40.483101|-124.2286|649.0|Cape Mendocino CA|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM07A|40.473099|-124.084099|311.0|Scotia CA|2014-10-04T00:00:00|2015-10-11T23:59:59
5E|CM08A|40.435001|-124.281502|417.0|Cape Mendocino CA|2014-10-05T00:00:00|2015-10-10T23:59:59
5E|CM09A|40.3321|-124.330498|218.0|Cape Mendocino CA|2014-10-04T00:00:00|2015-10-10T23:59:59
5E|CM10A|40.317101|-124.264503|68.0|Petrolia CA|2014-10-04T00:00:00|2015-10-10T23:59:59
7D|FS01B|40.326801|-124.949203|-940.0|SIO OBS ID FS01B|2012-09-02T00:00:00|2013-06-19T23:59:59
7D|FS02B|40.351101|-124.797997|-1402.8|LDEO OBS STANDARD DEEP|2012-09-13T00:00:00|2013-07-03T23:59:59
7D|FS02D|40.326|-124.800201|-947.9|WHOI OBS ID S86|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|FS03B|40.273201|-124.652603|-345.0|LDEO OBS TRAWL-RESISTANT|2012-09-13T00:00:00|2013-07-02T23:59:59
7D|FS04B|40.244701|-124.509697|-159.0|LDEO OBS TRAWL-RESISTANT|2012-09-14T00:00:00|2013-07-01T23:59:59
7D|FS04D|40.2528|-124.505203|-155.0|SIO OBS ID FS04D|2014-08-12T00:00:00|2015-09-15T23:59:59
7D|FS05B|40.3866|-124.899597|-2316.0|WHOI OBS ID S80|2012-08-27T00:00:00|2013-06-12T23:59:59
7D|FS06B|40.381199|-124.785301|-2198.0|WHOI OBS ID S87|2012-08-27T00:00:00|2013-06-12T23:59:59
7D|FS06D|40.369999|-124.806702|-1946.8|WHOI OBS ID S89|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|FS07B|40.339199|-124.659599|-1297.0|LDEO OBS STANDARD DEEP|2012-09-13T00:00:00|2013-07-03T23:59:59
7D|FS07D|40.337898|-124.6577|-1273.7|WHOI OBS ID S84|2014-07-17T00:00:00|2015-08-27T23:59:59
7D|FS08B|40.336601|-124.459801|-120.0|LDEO OBS TRAWL-RESISTANT|2012-09-14T00:00:00|2013-07-02T23:59:59
7D|FS08D|40.334702|-124.465302|-132.0|SIO OBS ID FS08D|2014-08-12T00:00:00|2015-09-15T23:59:59
7D|FS09B|40.438702|-124.808502|-2161.0|WHOI OBS ID S85|2012-08-28T00:00:00|2013-06-12T23:59:59
7D|FS09D|40.437698|-124.803703|-2122.1|WHOI OBS ID S83|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|FS10B|40.432999|-124.6819|-1076.0|LDEO OBS STANDARD DEEP|2012-09-13T00:00:00|2013-07-02T23:59:59
7D|FS10D|40.4328|-124.694|-1153.8|WHOI OBS ID S81|2014-07-17T00:00:00|2015-08-27T23:59:59
7D|FS11B|40.429199|-124.577797|-132.0|LDEO OBS TRAWL-RESISTANT|2012-09-15T00:00:00|2013-07-03T23:59:59
7D|FS11D|40.428501|-124.577499|-150.0|LDEO OBS TRAWL-RESISTANT|2014-09-15T00:00:00|2015-10-07T23:59:59
7D|FS12B|40.437099|-124.505898|-60.0|LDEO OBS TRAWL-RESISTANT|2012-09-14T00:00:00|2013-07-02T23:59:59
7D|FS12D|40.445599|-124.510498|-55.0|LDEO OBS TRAWL-RESISTANT|2014-09-15T00:00:00|2015-10-06T23:59:59
7D|FS13B|40.493099|-124.806503|-2332.0|LDEO OBS STANDARD DEEP|2012-09-12T00:00:00|2013-07-03T23:59:59
7D|FS13D|40.493698|-124.803398|-2291.2|WHOI OBS ID S80|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|FS14B|40.495499|-124.591797|-107.0|SIO OBS ID FS14B|2012-09-02T00:00:00|2013-06-19T23:59:59
7D|FS14D|40.492298|-124.603897|-145.0|LDEO OBS TRAWL-RESISTANT|2014-09-14T00:00:00|2015-10-06T23:59:59
7D|FS15B|40.492599|-124.512604|-52.0|LDEO OBS TRAWL-RESISTANT|2012-09-13T00:00:00|2013-07-03T23:59:59
7D|FS15D|40.496399|-124.524696|-56.0|LDEO OBS TRAWL-RESISTANT|2014-09-16T00:00:00|2015-10-07T23:59:59
7D|FS16B|40.538101|-124.739502|-1073.0|LDEO OBS STANDARD DEEP|2012-09-12T00:00:00|2013-07-03T23:59:59
7D|FS16D|40.5378|-124.746803|-1080.4|WHOI OBS ID S82|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|FS17B|40.559799|-124.596497|-146.0|LDEO OBS TRAWL-RESISTANT|2012-09-15T00:00:00|2013-07-02T23:59:59
7D|FS17D|40.559799|-124.597|-145.0|LDEO OBS TRAWL-RESISTANT|2014-09-14T00:00:00|2015-10-06T23:59:59
7D|FS18B|40.568199|-124.501602|-107.0|LDEO OBS TRAWL-RESISTANT|2012-09-16T00:00:00|2013-07-01T23:59:59
7D|FS19B|40.627899|-124.466698|-87.0|LDEO OBS TRAWL-RESISTANT|2012-09-16T00:00:00|2013-07-01T23:59:59
7D|FS20B|40.3895|-125.031097|-2378.0|LDEO OBS STANDARD DEEP|2012-09-12T00:00:00|2013-07-04T23:59:59
7D|FS41D|40.6124|-124.731003|-1079.3|WHOI OBS ID S88|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|FS42D|40.715099|-124.463097|-95.0|LDEO OBS TRAWL-RESISTANT|2014-09-14T00:00:00|2015-10-05T23:59:59
7D|FS43D|40.711899|-124.5839|-719.0|LDEO OBS TRAWL-RESISTANT|2014-09-14T00:00:00|2015-10-06T23:59:59
7D|FS44D|40.760899|-124.702797|-837.0|SIO OBS ID FS44D|2014-08-12T00:00:00|2015-09-15T23:59:59
7D|FS45D|40.799999|-124.520302|-477.0|LDEO OBS TRAWL-RESISTANT|2014-09-13T00:00:00|2015-09-09T23:59:59
7D|G01D|39.999901|-124.6008|-1006.7|WHOI OBS ID S85|2014-07-17T00:00:00|2015-08-27T23:59:59
7D|G02B|40.048599|-125.296898|-1920.0|SIO OBS ID G02B|2012-09-03T00:00:00|2013-06-19T23:59:59
7D|G02D|40.160301|-125.297699|-1741.0|LDEO OBS STANDARD DEEP|2014-09-16T00:00:00|2015-09-12T23:59:59
7D|G03A|40.059101|-126.162498|-4113.0|WHOI OBS ID S87|2011-11-17T00:00:00|2012-05-13T23:59:59
7D|G03B|40.057999|-126.163399|-4051.0|WHOI OBS ID S89|2012-08-27T00:00:00|2013-06-11T23:59:59
7D|G03D|40.058701|-126.161201|-4056.5|WHOI OBS ID T111|2014-07-14T00:00:00|2015-08-29T23:59:59
7D|G04B|40.058498|-126.928497|-4368.0|WHOI OBS ID T103|2012-08-27T00:00:00|2013-06-08T23:59:59
7D|G04D|40.1577|-126.784698|-4350.3|WHOI OBS ID T101|2014-07-14T00:00:00|2015-08-29T23:59:59
7D|G05B|40.070599|-127.747803|-4462.0|WHOI OBS ID T110|2012-08-27T00:00:00|2013-06-08T23:59:59
7D|G05D|40.143002|-127.825699|-4463.8|WHOI OBS ID T112|2014-07-14T00:00:00|2015-08-29T23:59:59
7D|G09B|40.656799|-124.718697|-842.0|LDEO OBS TRAWL-RESISTANT|2012-09-16T00:00:00|2013-07-01T23:59:59
7D|G09D|40.6665|-124.726898|-716.3|WHOI OBS ID S87|2014-07-16T00:00:00|2015-08-28T23:59:59
7D|G10B|40.677898|-125.553299|-2936.0|SIO OBS ID G10B|2012-09-03T00:00:00|2013-06-19T23:59:59
7D|G10D|40.788799|-125.554398|-3015.0|SIO OBS ID G10D|2014-08-11T00:00:00|2015-09-15T23:59:59
7D|G11B|40.6875|-126.376404|-3123.0|WHOI OBS ID T111|2012-08-28T00:00:00|2013-06-09T23:59:59
7D|G11D|40.7845|-126.4683|-3145.0|SIO OBS ID G11D|2014-08-02T00:00:00|2015-09-14T23:59:59
7D|G12B|40.686901|-127.228897|-3080.0|SIO OBS ID G12B|2012-09-03T00:00:00|2013-06-20T23:59:59
7D|G13B|40.683998|-128.028305|-3215.0|WHOI OBS ID T105|2012-08-26T00:00:00|2013-06-07T23:59:59
7D|G13D|40.748199|-127.937103|-3186.5|WHOI OBS ID T114|2014-07-14T00:00:00|2015-08-30T23:59:59
7D|G17B|41.283901|-124.344597|-123.0|LDEO OBS TRAWL-RESISTANT|2012-09-17T00:00:00|2013-07-01T23:59:59
7D|G17D|41.399601|-124.433197|-99.0|LDEO OBS TRAWL-RESISTANT|2014-09-13T00:00:00|2014-09-16T23:59:59
7D|G18B|41.301601|-124.936302|-1464.0|LDEO OBS STANDARD DEEP|2012-09-18T00:00:00|2013-05-16T23:59:59
7D|G18D|41.304699|-125.255798|-3130.0|LDEO OBS STANDARD DEEP|2014-09-13T00:00:00|2015-10-05T23:59:59
7D|G19B|41.3074|-125.773598|-3071.0|WHOI OBS ID T106|2012-08-28T00:00:00|2013-06-13T23:59:59
7D|G19D|41.3316|-126.027901|-3082.0|LDEO OBS STANDARD DEEP|2014-09-18T00:00:00|2015-09-14T23:59:59
7D|G20B|41.298698|-126.613297|-3141.0|WHOI OBS ID T113|2012-08-28T00:00:00|2013-06-11T23:59:59
7D|G20D|41.451599|-126.8638|-2931.3|WHOI OBS ID T103|2014-07-13T00:00:00|2015-08-30T23:59:59
7D|G21B|41.316002|-127.453697|-3156.0|WHOI OBS ID T102|2012-08-28T00:00:00|2013-06-11T23:59:59
7D|G21D|41.1227|-127.447998|-3293.4|WHOI OBS ID T106|2014-07-13T00:00:00|2015-08-30T23:59:59
7D|G22B|41.3092|-128.274002|-3038.0|WHOI OBS ID T108|2012-08-26T00:00:00|2013-06-07T23:59:59
7D|G22D|41.433601|-128.016602|-3092.4|WHOI OBS ID T107|2014-07-13T00:00:00|2015-08-30T23:59:59
7D|M14B|40.985001|-124.589699|-638.0|SIO OBS ID M14B|2012-09-02T00:00:00|2013-06-19T23:59:59
7D|M17D|41.036999|-124.629799|-749.0|LDEO OBS TRAWL-RESISTANT|2014-09-12T00:00:00|2015-10-08T23:59:59
BK|LCOW|40.64261|-122.18524|236.2|Little Cow Creek, Bella Vista, CA|2020-06-05T00:00:00|2020-06-10T18:50:00
EM|CAM03|41.491001|-122.627998|1633.4|Macks Gulch, CA, USA|2010-07-09T20:45:59|2010-08-19T15:43:43
EM|CAM04|41.463001|-121.692001|1497.1|Snag Hill, CA, USA|2010-07-15T20:59:13|2010-07-28T23:56:19
EM|CAM04|41.415001|-121.833|1517.0|Snag Hill, CA, USA|2010-09-09T22:12:20|2010-10-05T17:08:44
EM|CAM05|41.411999|-120.867996|1344.9|Portuguese Ridge, CA, USA|2010-07-01T22:48:38|2010-08-19T22:11:15
EM|CAM94|41.462002|-121.692001|1496.4|Snag Hill, CA, USA|2010-07-15T20:59:13|2010-09-08T17:36:55
EM|CAN01|41.167999|-124.091003|173.2|Redwood Park, CA, USA|2010-07-07T21:39:53|2010-08-04T18:46:28
EM|CAN02|40.866001|-123.448997|317.9|Happy Camp, CA, USA|2010-08-15T01:45:20|2010-10-02T20:10:02
EM|CAN03|41.027|-121.971001|883.2|Dog Creek Mt, CA, USA|2010-07-28T20:53:43|2010-09-07T16:29:37
EM|CAN03|40.900002|-122.505997|1094.4|Dog Creek Mt., CA, USA|2011-06-10T19:09:51|2011-07-02T17:32:53
EM|CAN04|40.819|-121.571999|1347.3|Burney Mt, CA, USA|2010-07-02T23:52:29|2010-09-22T15:48:34
EM|CAN05|40.762001|-120.793999|6104.6|Cleghorn Reservoir, CA, USA|2010-07-07T20:23:48|2010-08-03T22:22:08
EM|CAN06|40.785999|-120.109001|1676.2|Painters Creek, CA, USA|2010-09-12T11:50:56|2010-10-06T16:32:43
EM|CAO01|40.627998|-123.934998|698.0|Gift Ranch, CA, USA|2010-06-02T02:01:32|2010-06-30T16:44:38
EM|CAO02|40.466999|-123.18|768.8|Philpot Creek, California, USA|2010-08-05T21:30:49|2010-08-28T18:11:12
EM|CAO03|40.292999|-122.514999|233.4|Packer Gulch, CA, USA|2010-07-03T22:05:26|2010-08-05T16:50:22
EM|CAO04|40.216999|-121.523003|1589.5|Collins Pine, CA, USA|2010-07-06T19:37:31|2010-08-03T17:27:10
EM|CAO05|40.247002|-120.704002|1732.9|Taylor Lake, CA, USA|2010-07-08T20:40:58|2010-08-20T18:05:05
EM|CAO06|40.104|-120.014999|1211.5|Honey Lake Valley, CA, USA|2010-09-21T21:20:54|2010-11-09T18:42:23
EM|CAP01|40.035999|-123.765999|448.9|Mt Reed, CA, USA|2010-07-23T22:41:40|2010-08-06T15:51:28
EM|CAP02|39.702999|-123.064003|1330.7|Hayshed Creek, CA, USA|2010-07-01T15:52:28|2010-08-06T20:11:38
EM|CAP03|39.640999|-122.351997|118.6|Sheep Corral Creek, CA, USA|2010-07-10T18:14:44|2010-08-25T15:20:52
EM|CAP04|39.591|-121.332001|686.6|Lake Oroville, CA, USA|2010-08-03T00:17:43|2010-08-24T20:23:01
EM|CAP05|39.506001|-120.719002|1892.1|Yuba River, CA, USA|2010-07-17T19:33:21|2010-09-15T15:23:08
GM|AA12|39.53523|-121.4669|385.0|GM.AA12|2017-04-20T17:00:00|2018-06-27T21:30:00
GM|LGO|40.41862|-120.80602|1606.0|Goat Mountain|2019-07-10T00:00:00|2599-12-31T23:59:59
GM|LST1|41.471331|-122.304108|1335.0|Shastina|2022-06-06T00:00:00|2022-10-24T18:02:00
GM|LST2|41.462034|-122.217914|2180.0|North Gate|2022-06-06T00:00:00|2022-10-24T23:59:00
GM|LST3|41.334475|-122.105693|1537.0|Mud Low|2022-06-06T00:00:00|2022-10-24T20:31:00
GM|LST4|41.375903|-122.125359|2056.0|Mud High|2022-06-06T00:00:00|2022-10-24T18:15:00
GM|LST5|41.386588|-122.192659|3386.0|Shastarama|2022-06-06T00:00:00|2599-12-31T23:59:59
GM|LST6|41.48926|-122.24058|1587.59|Bolam Infrasound|2022-06-29T00:00:00|2022-10-25T23:59:00
NC|LRB|40.143227|-122.557716|308.0|Red Bank|2023-07-17T23:59:00|2599-12-31T23:59:59
NN|BAB|39.6024|-120.1059|2659.0|Babbit Peak, California w84gm|1982-11-01T00:00:00|2599-12-31T23:59:59
NN|BEK|39.8666|-120.3596|1743.0|Beckworth, California w84|1996-10-02T00:00:00|2599-12-31T23:59:59
NN|BMR|40.1086|-120.292|2146.0|Black Mountain, California w84|1978-05-18T00:00:00|2599-12-31T23:59:59
NN|EUR|39.7541|-120.7119|1951.0|Eureka, California w84|1999-10-22T00:00:00|2019-05-07T23:59:59
NN|GZY|39.9619|-120.6513|1935.0|Grizzly, California w84|1999-10-22T00:00:00|2599-12-31T23:59:59
NN|KBF|39.5067|-120.2139|2111.0|Kyburz Flat, California w84gm|1973-06-01T00:00:00|2018-06-12T23:59:59
NN|LOY|39.6586|-120.2368|1582.0|Loyalton, California w84|1982-11-01T00:00:00|2018-06-12T23:59:59
NN|LOYB|39.6592|-120.2348|1547.0|Loyalton, CA digital upgrade|2019-10-07T00:00:00|2599-12-31T23:59:59
NN|LVO|39.8716|-120.8729|1372.0|Little Volcano, California w84|1999-10-22T00:00:00|2599-12-31T23:59:59
NN|SAT|39.6024|-120.448|1972.0|Sattley, California w84|1999-10-14T00:00:00|2018-06-12T23:59:59
NN|SBT|39.6267|-120.6669|2152.0|Sierra Buttes, California w84|1999-10-12T00:00:00|2599-12-31T23:59:59
NN|SMI|39.8672|-120.5306|2344.0|Smith Peak, California w84|1999-10-19T00:00:00|2019-05-07T23:59:59
NN|SRV2|39.6533|-120.3432|1700.0|Sierraville portable station 2, wgs84|2011-11-30T00:00:00|2013-05-30T23:59:59
NN|SRV3|39.650501|-120.441498|1524.0|Sierraville portable station, wgs84|2011-11-10T00:00:00|2012-10-22T23:59:59
NN|SRVL|39.5709|-120.330597|1666.0|Sierraville, California|2011-09-14T00:00:00|2013-08-28T23:59:59
NN|SVRD|39.5837|-120.3694|1527.0|Sierraville, CA|2023-01-31T00:00:00|2599-12-31T23:59:59
NP|1010|39.8126|-122.33628|155.0|CA:Black Butte Dam|2000-04-25T18:00:00|2599-12-31T23:59:59
NP|1023|40.57616|-124.26367|16.0|CA:Ferndale;FS|1999-12-17T18:00:00|2599-12-31T23:59:59
NP|1505|39.8842|-120.47628|1781.0|CA:Grizzly Valley Dam|1995-11-30T18:00:00|2018-01-01T18:00:00
NP|1580|40.87417|-124.07618|36.0|CA:Arcata;Humboldt St Univ|1999-12-15T18:00:00|2014-02-12T18:00:00
NP|1580|40.87417|-124.07618|36.0|CA:Arcata;Humboldt St Univ|2015-10-07T18:00:00|2599-12-31T23:59:59
NP|1581|40.73501|-124.20763|4.0|CA:Eureka;South Bay School|1999-12-15T18:00:00|2599-12-31T23:59:59
NP|1582|40.69939|-124.20093|13.0|CA:Eureka;Coll of the Redwoods|1999-12-16T18:00:00|2018-07-09T18:00:00
NP|1582|40.69939|-124.20093|13.0|CA:Eureka;Coll of the Redwoods|2018-10-19T18:00:00|2599-12-31T23:59:59
NP|1584|40.49761|-124.29448|753.0|CA:Ferndale;Bunker Hill  FAA|1999-12-17T18:00:00|2022-06-28T18:00:00
NP|1584B|40.49857|-124.29232|720.0|CA:Ferndale;Bunker Hill NOAA|2022-06-29T18:00:00|2599-12-31T23:59:59
NP|1586|40.6442|-124.22071|36.0|CA:Loleta;FS|1999-12-18T18:00:00|2599-12-31T23:59:59
NP|1591|40.10538|-123.79032|178.0|CA:Garberville;FS|2018-10-15T18:00:00|2599-12-31T23:59:59
NP|1725|40.54408|-124.3544|173.0|CA:Ferndale;Lost Coast Ranch|1994-02-10T18:00:00|2599-12-31T23:59:59
NP|1746|40.58908|-124.1479|18.0|CA:Fortuna;FS|1998-07-23T18:00:00|2019-04-16T18:00:00
PB|B039|41.4667|-122.4847|923.9|cofflt039bcn2007, Weed, CA, USA|2007-10-15T00:00:00|2599-12-31T23:59:59
PB|B045|40.436001|-123.996498|29.4|rdcrst045bcn2008, Pepperwood, CA, USA|2008-09-16T00:00:00|2599-12-31T23:59:59
PB|B046|40.321972|-124.284302|44.0|mattol046scn2008, Petrolia, CA, USA|2008-08-26T00:00:00|2599-12-31T23:59:59
PB|B047|40.249933|-124.169848|80.0|chapmn047scn2008, Mendocino, CA, USA|2008-09-04T00:00:00|2599-12-31T23:59:59
PB|B049|40.237499|-123.819702|117.0|mirand049scn2008, Mendocino, CA, USA|2008-11-12T00:00:00|2599-12-31T23:59:59
PB|B932|40.275002|-124.221199|52.0|burogh932scn2008, Petrolia, CA, USA|2008-10-17T00:00:00|2599-12-31T23:59:59
PB|B933|40.060001|-123.969002|268.1|mckeem933bcn2008, Thorn Junction, CA, USA|2008-09-12T00:00:00|2599-12-31T23:59:59
PB|B934|39.844501|-123.691399|331.0|legget934bcn2008, Leggett, CA, USA|2008-09-26T00:00:00|2599-12-31T23:59:59
PB|B935|40.478699|-123.573196|696.7|dinsmr935bcn2008, Dinsmore, CA, USA|2008-10-28T00:00:00|2599-12-31T23:59:59
RE|KSWK|40.61219|-122.445831|181.7|Keswick Dam|2017-01-01T00:00:00|2018-07-10T23:59:59
RE|SHST|40.71862|-122.419067|328.6|Shasta Dam|2017-01-01T00:00:00|2099-01-01T00:00:00
RE|TRNT|40.800983|-122.762955|588.3|Trinity Dam|2017-01-01T00:00:00|2099-01-01T00:00:00
TA|ELFS|40.618301|-120.727898|1553.0|Eagle Lake Field Station, Susanville, CA, USA|2005-05-20T00:00:00|2007-10-09T23:59:59
TA|HATC|40.816101|-121.461197|1013.0|Hat Creek Radio Observatory, Hat Creek, CA, USA|2005-05-19T00:00:00|2007-09-07T23:59:59
TA|M02C|41.391998|-122.853798|960.0|Callahan, CA, USA|2005-06-30T00:00:00|2016-05-01T23:59:59
TA|M03C|41.2742|-122.122002|1047.0|McCloud, CA, USA|2005-07-13T00:00:00|2007-11-13T23:59:59
TA|M05C|41.359299|-121.145699|1333.0|Lookout, CA, USA|2005-06-29T00:00:00|2007-10-10T23:59:59
TA|M06C|41.2047|-120.477203|1434.0|Likely Place Golf, Likely, CA, USA|2005-06-28T00:00:00|2007-10-21T23:59:59
TA|N02C|40.821999|-123.305702|717.0|Big Bar, CA, USA|2005-07-01T00:00:00|2007-11-19T23:59:59
TA|N02D|40.973999|-122.705002|937.0|Trinity Center, CA, USA|2009-11-05T00:00:00|2016-04-28T23:59:59
TA|O01C|40.139801|-123.819504|137.8|Eel River Conservation Camp, Redway, CA, USA|2005-08-25T00:00:00|2007-11-17T23:59:59
TA|O02C|40.176701|-122.7883|962.0|Red Bluff, CA, USA|2005-07-20T00:00:00|2007-10-11T23:59:59
TA|O02D|40.176601|-122.788399|965.0|Mt. Diablo Meridian, CA, USA|2010-08-01T00:00:00|2016-05-02T23:59:59
TA|O03C|39.997101|-122.031898|85.0|Acorn Hollow, Los Molinos, CA, USA|2005-04-19T00:00:00|2007-09-06T23:59:59
